unique_id,ds,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-hi-90,Moirai,Moirai-lo-90,Moirai-hi-90,Prophet,Prophet-lo-90,Prophet-hi-90
all,2023-06-03,3582.557007660378,-12226.477716430885,19391.591731751643,1445.1345,68.22266,5569.684,-4985.716322297241,-14280.017603007274,3969.4139279915526
all,2023-06-04,3543.6069847031727,-12316.194010443609,19403.407979849955,1461.8367,-328.31738,3116.7527,-5387.939672922461,-14512.894737131783,2748.45270173816
all,2023-06-05,3604.1484912947517,-12315.581702790572,19523.878685380074,1193.9661,-217.46338,3390.7676,-6214.738610015511,-15698.0991070775,3189.635260560985
all,2023-06-06,3476.8675559075054,-12499.122900425513,19452.858012240526,1175.0283,-120.86719,2685.879,-6771.687332378319,-15302.69671762781,1908.6928353017377
all,2023-06-07,3618.4975203309446,-12403.062827816599,19640.05786847849,1712.9985,-69.77197,5128.4697,-5749.599660743396,-14930.9229161771,2905.4467102588706
all,2023-06-08,3996.9947664658716,-12068.074228068423,20062.063761000165,1762.6284,-436.93018,4871.6797,-3945.662672101693,-13175.025304751847,5313.423904685781
all,2023-06-09,3937.732124328742,-12172.888993695336,20048.35324235282,2015.2644,-84.95654,6915.995,-4742.144138221573,-14204.46207440228,3977.4068775784776
all,2023-06-10,3582.10941312044,-12573.668784375568,19737.88761061645,1798.1221,-71.973145,6243.8643,-4990.674128420875,-14415.823720908544,3899.1352992987327
all,2023-06-11,3543.055821587469,-12662.496057041488,19748.607700216424,1454.7573,1.3911133,3291.4597,-5389.952122532039,-15657.711132569144,3499.149585942341
all,2023-06-12,3611.0895303313964,-12652.350154432828,19874.52921509562,1239.2437,119.77588,2734.4316,-6214.035559635062,-16306.995340070125,2608.4455277691345
all,2023-06-13,3501.4072105286423,-12816.514191690236,19819.32861274752,1462.7896,-286.48682,3276.7563,-6767.534744782477,-16762.260960066327,2333.9682524495756
all,2023-06-14,3628.033989674253,-12734.529044221244,19990.59702356975,1740.2126,-608.8052,3991.6055,-5740.386931257512,-15461.956329224402,3347.3184104809975
all,2023-06-15,3975.4152755931054,-12429.926574326666,20380.75712551288,2011.6204,-269.16357,4415.434,-3929.019534525292,-13477.595201719276,5071.443630104715
